Индекс;Станция (RU);Страна;Широта;Долгота;H над ур.моря, м;Станция (EN)
AGGH;Хониара;Соломоновы Острова;-9,42;160,05;8;Honiara / Henderson
AGGL;Санта-Крус;Соломоновы Острова;-10,70;165,80;23;Santa Cruz
AGGM;Мунда;Соломоновы Острова;-8,33;157,26;6;Munda
ANAU;Науру;Науру;-0,53;166,91;6;Nauru Airport
ANYN;;Науру;-0,55;166,91;6;Nauru
AYBK;;Папуа-Новая Гвинея;-5,42;154,67;2;Buka
AYGA;;Папуа-Новая Гвинея;-6,08;145,39;1609;Goroka
AYGN;;Папуа-Новая Гвинея;-10,31;150,33;19;Gurney/Alotau
AYKV;;Папуа-Новая Гвинея;-2,58;150,81;2;Kavieng
AYMD;Маданг;Папуа-Новая Гвинея;-5,20;145,78;3;Madang
AYMH;;Папуа-Новая Гвинея;-5,82;144,30;1642;Mount Hagen
AYMO;;Папуа-Новая Гвинея;-2,06;147,42;3;Momote
AYNZ;;Папуа-Новая Гвинея;-6,56;146,72;70;Nadzab
AYPY;Морсби;Папуа-Новая Гвинея;-9,44;147,21;44;Moresby
AYTK;;Папуа-Новая Гвинея;-4,34;152,37;9;Rabaul/Tokua
AYWK;Вевак;Папуа-Новая Гвинея;-3,58;143,66;5;Wewak
BGAM;Тасиилак;Гренландия;65,60;322,36;52;Tasiilaq (Ammassalik)
BGAS;Ангисок;Гренландия;59,98;314,79;16;Angisoq
BGAT;Апутитик;Гренландия;67,78;327,70;12;Aputiteeq
BGBW;Нарсарсуак;Гренландия;61,16;314,57;34;Narsarsuaq
BGCO;Нерлерит-Инаат;Гренландия;70,75;337,35;10;Nerlerit Inaat (Constable Pynt)
BGDB;Данебург;Гренландия;74,30;339,78;44;Daneborg
BGDH;Данмарксхавн;Гренландия;76,76;341,33;12;Danmarkshavn
BGEM;Аусиат (Эгедесминде);Гренландия;68,70;307,25;41;Aasiaat (Egedesminde)
BGFH;Паамиут;Гренландия;62,00;310,33;15;Paamiut (Frederikshaab)
BGGD;Грённедаль;Гренландия;61,23;311,89;32;Groennedal
BGGH;Готхоб / Нуук;Гренландия;64,16;308,25;70;Godthaab / Nuuk
BGHB;Сисимиут;Гренландия;66,91;306,33;9;Sisimiut Mittarfia (Holsteinsborg Lufthavn)
BGJH;Куанак;Гренландия;60,71;313,95;34;Qaqortoq (Julianehaab)
BGJN;Илулиссат (Якобсхавн);Гренландия;69,23;308,93;31;Ilulissat (Jakobshavn)
BGKK;Кулусук-Луфтхавн;Гренландия;65,56;322,86;37;Kulusuk Lufthavn
BGKT;Кейп-Тобин;Гренландия;70,41;338,03;41;Cape Tobin Automated Reporting Station
BGPC;Принс-Кристиан-Сунд;Гренландия;60,05;316,83;75;Prins Christian Sund
BGSC;Иттокуортормиит;Гренландия;70,48;338,04;69;Ittoqqortoormiit (Scoresbysund)
BGSF;Кангерлуссуак;Гренландия;67,01;309,31;50;Kangerlussuaq (Sdr. Stroemfjord)
BGTL;Питуффик;Гренландия;76,53;291,29;76;Pituffik (Thule A.B)
BIAR;Акюрейри;Исландия;65,65;341,92;2;Akureyri
BIBD;;Исландия;65,64;336,45;8;Bildudalur
BIBL;Блёндюоус;Исландия;65,66;339,70;23;Blonduos
BIEG;Эгилсстадир;Исландия;65,28;345,59;23;Egilsstadir
BIFM;Фагюрхолсмури;Исландия;63,88;343,35;;Fagurholsmyri
BIGR;Гримсей;Исландия;66,53;341,98;16;Grimsey
BIHN;Акюрнес;Исландия;64,29;344,77;7;Akurnes
BIHU;;Исландия;65,95;342,57;14;Husavik
BIIS;;Исландия;66,05;336,86;2;Isafjordur
