Индекс;Станция (RU);Страна;Широта;Долгота;H над ур.моря, м;Часовой пояс;Станция (EN)
01001;Ян-Майен;Норвегия;70,93;351,33;10;-1;Jan Mayen
01002;Ферлегенхукен;Норвегия;80,05;16,25;8;0;Verlegenhuken
01003;Хорнсунд;Норвегия;77,00;15,50;10;0;Hornsund
01004;Ню-Алесунд II;Норвегия;78,92;11,92;15;0;Ny-Alesund II
01006;Эдгойа;Норвегия;78,25;22,82;14;0;Edgeoya
01007;Ню-Алесунд;Норвегия;78,92;11,93;8;0;Ny-Alesund
01008;Свалбард-Луфтхафен;Норвегия;78,25;15,46;28;0;Svalbard Lufthavn
01009;Фиппсоя;Норвегия;80,65;25,00;5;0;Phippsoya
01010;Андойа;Норвегия;69,30;16,13;10;0;Andoya
01011;Квитоя;Норвегия;80,07;31,50;10;0;Kvitoya
01014;Сенья-Лаухелла;Норвегия;69,23;17,90;9;0;Senja-Laukhella
01015;Хеккинген;Норвегия;69,60;17,83;14;0;Hekkingen Fyr
01016;Конгсоя;Норвегия;78,92;28,89;20;0;Kongsoya
01017;Акселоя;Норвегия;77,68;14,78;6;0;Akseloya
01018;Андоя-Троллтинден;Норвегия;69,24;16,00;436;0;Andoya-Trolltinden
01019;Сварттанген;Норвегия;77,51;20,81;20;0;Svarttangen
01020;Соркаппоя;Норвегия;76,47;16,54;10;0;Sorkappoya
01023;Бардуфос;Норвегия;69,05;18,54;76;0;Bardufoss
01024;Пирамиден;Норвегия;78,65;16,36;20;0;Pyramiden
01025;Тромсо / Лангнес;Норвегия;69,67;18,91;8;0;Tromso/Langnes
01026;Тромсо;Норвегия;69,65;18,93;100;0;Tromso
01027;Тромсе;Норвегия;69,65;18,90;10;0;Tromso
01028;Бьёрноя;Норвегия;74,51;19,00;18;0;Bjornoya
01030;Кистефйелл;Норвегия;69,28;18,12;982;0;Kistefjell
01033;Торсваг;Норвегия;70,24;19,50;21;0;Torsvag Fyr
01034;Фуглойкалвен;Норвегия;70,31;20,15;38;0;Fugloykalven Fyr
01035;Линген;Норвегия;69,55;20,09;710;0;Lyngen Gjerdvassbu
01036;Норднесфьеллет;Норвегия;69,57;20,42;700;0;Nordnesfjellet
01037;Шиботн-2;Норвегия;69,38;20,28;20;0;Skibotn-2
01041;Нордрайза-Ойенг;Норвегия;69,73;21,01;;0;Nordreisa-Oyeng
01042;Хасвик-Слускфьеллет;Норвегия;70,60;22,44;438;0;Hasvik-Sluskfjellet
01043;Рогнсундет;Норвегия;70,41;22,81;10;0;Rognsundet
01044;Хасвик;Норвегия;70,48;22,14;6;0;Hasvik
01045;Нордстраум;Норвегия;69,83;21,88;6;0;Nordstraum | Kvaenangen
01046;Соркйозен;Норвегия;69,78;20,95;6;0;Sorkjosen
01047;Каутокейно;Норвегия;68,99;23,03;307;0;Kautokeino
01049;Альта-Луфтхафен;Норвегия;69,97;23,35;3;0;Alta Lufthavn
01051;Суоловуопми;Норвегия;69,58;23,53;;0;Suolovuopmi
01052;Хаммерфест;Норвегия;70,68;23,67;81;0;Hammerfest AP
01055;Фрухольмен;Норвегия;71,09;23,98;13;0;Fruholmen Fyr
01057;Куовддатмокки;Норвегия;69,36;24,43;286;0;Cuovddatmohkki
01058;Суоловуопми Лулит;Норвегия;69,57;23,53;381;0;Suolovuopmi Lulit
01059;Банак;Норвегия;70,06;24,98;5;0;Banak
01062;Хопен;Норвегия;76,50;25,01;6;0;Hopen
01064;Искорас II;Норвегия;69,30;25,34;591;0;Iskoras II
01065;Карасйок;Норвегия;69,46;25,50;131;0;Karasjok
01066;Хельнес;Норвегия;71,06;26,23;;0;Helnes Fyr
01068;Хонигсфаг / Валан;Норвегия;71,01;25,97;14;0;Honningsvag/Valan
01074;Меамн;Норвегия;71,03;27,82;11;0;Mehamn
01075;Рустефьелбма;Норвегия;70,39;28,19;10;0;Rustefjelbma
01076;Танабру;Норвегия;70,21;28,15;32;0;Tanabru
01078;Слетнес;Норвегия;71,08;28,21;8;0;Sletnes Fyr
01082;Нюруд;Норвегия;69,14;29,24;56;0;Nyrud
01083;Берлевог;Норвегия;70,87;29,03;12;0;Berlevag
01084;Пасвик;Норвегия;69,45;30,04;27;0;Pasvik
01086;Ботсфьорд;Норвегия;70,60;29,70;149;0;Batsfjord
01088;Вадсё;Норвегия;70,06;29,83;38;0;Vadso
01089;Киркенес;Норвегия;69,72;29,89;89;0;Kirkenes
01091;Лосистуа;Норвегия;68,19;17,78;740;0;Losistua
01092;Маккаур;Норвегия;70,70;30,06;9;0;Makkaur Fyr
01098;Вардё;Норвегия;70,37;31,09;14;0;Vardo
01099;Вардё;Норвегия;70,35;31,04;12;0;Vardo
01102;Шлинна;Норвегия;65,20;10,99;23;0;Sklinna Fyr
01103;Лека;Норвегия;65,10;11,70;;0;Leka
01105;Ротваер;Норвегия;68,36;15,94;8;0;Rotvaer
01106;Роест III;Норвегия;67,51;12,10;2;0;Roest III
01107;Рост а/п;Норвегия;67,52;12,10;4;0;Rost Flyplass
01108;Вега-Валлсьё;Норвегия;65,70;11,85;4;0;Vega-Vallsjo
01110;Уттерхольмен;Норвегия;66,00;11,68;33;0;Ytterholmen Fyr
01112;Брённёйсунн / Брённёй;Норвегия;65,45;12,21;7;0;Bronnoysund/Bronnoy
01113;Гломфьёрд;Норвегия;66,80;13,98;39;0;Glomfjord
01114;Рейпа;Норвегия;66,90;13,64;9;0;Reipa
01115;Мюкен;Норвегия;66,76;12,48;17;0;Myken
01116;Санднессйёен / Стокка;Норвегия;65,96;12,47;17;0;Sandnessjoen/Stokka
01117;Тьётта;Норвегия;65,82;12,43;21;0;Tjotta
